,To_0,To_1,To_2,To_3,To_4,To_5,To_6,To_7,To_8,To_9,To_10,To_11,To_12,To_13,To_14,To_15,To_16,To_17,To_18,To_19,To_20,To_21,To_22,To_23,To_24,To_25,To_26,To_27,To_28,To_29,To_30,To_31,To_32,To_33,To_34,To_35,To_36,To_37,To_38,To_39,To_40,To_41,To_42,To_43,To_44,To_45,To_46,To_47,To_48,To_49,To_50,To_51,To_52,To_53,To_54,To_55,To_56,To_57,To_58,To_59,To_60,To_61,To_62,To_63,To_64,To_65,To_66,To_67,To_68,To_69,To_70,To_71,To_72,To_73,To_74,To_75,To_76,To_77,To_78,To_79,To_80,To_81,To_82,To_83,To_84,To_85,To_86,To_87,To_88,To_89
From_70,8,5,0,1,0,79,3,20,2,3,3,25,15,0,2,12,1,1,58,108,118,118,250,285,21,11,10,23,51,69,85,69,11,76,131,61,27,17,7,30,111,18,41,28,6,6,5,5,30,9,47,65,5,53,91,73,6,43,12,14,41,7,9,7,17,1,17,29,150,1021,904,151,206,40,23,28,286,102,279,33,178,137,121,15,5,16,128,59,5,28
From_71,0,0,0,0,0,17,0,2,1,1,0,13,5,0,3,3,0,0,3,1,5,15,15,28,1,4,0,3,0,5,25,52,0,84,44,5,6,4,1,18,13,2,9,17,3,4,1,0,0,2,9,11,7,14,2,4,2,55,8,1,6,1,1,1,0,0,8,16,17,141,165,196,56,13,15,5,102,53,56,4,25,49,59,23,1,7,52,15,2,2
From_72,0,1,0,0,0,26,17,8,0,3,1,44,17,0,3,20,0,0,4,30,19,56,63,31,8,2,3,3,3,16,50,69,5,180,32,2,4,5,7,136,6,4,20,28,9,3,6,8,8,2,31,15,4,39,20,18,5,132,13,2,16,8,0,2,1,0,48,36,85,57,114,104,1121,22,90,164,177,146,307,15,200,111,105,76,31,33,89,40,2,8
From_73,3,3,1,0,0,54,0,19,1,4,4,17,39,3,10,9,0,1,10,25,26,94,93,121,14,14,4,4,14,13,11,12,17,9,18,4,10,6,11,10,30,3,30,5,4,5,11,4,10,5,25,31,19,60,14,39,5,8,3,6,4,4,2,4,5,0,2,20,115,33,34,7,22,124,15,13,5,3,41,2,359,27,8,5,0,2,26,74,2,5
From_74,0,1,0,0,0,8,0,4,0,1,2,16,2,0,1,9,0,0,8,8,19,29,38,39,3,5,2,11,8,17,11,18,4,19,23,0,12,4,1,2,12,2,12,11,0,3,2,1,2,3,9,18,2,15,10,18,0,26,4,0,4,0,2,0,0,0,5,12,51,12,20,13,31,13,81,30,34,17,57,1,25,46,28,7,3,3,26,22,2,8
From_75,0,1,0,0,0,9,0,3,1,1,10,12,0,0,1,5,0,1,10,28,38,64,73,20,3,9,5,4,12,2,10,19,2,12,15,0,6,5,7,9,8,2,3,17,2,0,1,4,11,13,28,41,6,42,27,11,0,47,6,2,7,5,3,4,2,0,5,9,63,8,19,7,68,29,75,87,44,14,67,2,154,71,48,8,16,3,36,39,0,4
From_76,0,0,1,0,0,68,0,18,1,0,4,49,4,0,0,38,0,0,3,5,12,29,26,24,6,2,2,2,8,9,24,17,4,66,11,1,0,1,0,35,7,3,17,30,1,4,0,1,2,3,20,18,2,9,3,10,1,129,8,1,7,3,1,1,2,0,65,24,38,180,109,59,166,15,64,38,998,21,221,5,101,137,182,5,7,15,47,9,0,5
From_77,1,1,0,0,0,13,0,2,0,0,0,3,3,0,1,6,0,0,23,21,16,57,64,21,1,17,2,4,19,33,73,14,3,21,7,1,15,0,3,17,6,2,9,8,2,0,0,16,5,4,19,22,6,45,10,11,0,88,24,2,25,7,1,0,0,0,3,18,30,180,114,55,137,6,13,17,22,488,221,22,60,22,14,52,4,96,45,72,0,11
From_78,4,1,1,0,0,87,0,7,4,2,28,239,8,0,8,18,3,0,37,49,84,123,200,54,6,32,5,17,32,39,109,65,24,72,60,5,23,5,12,29,32,1,23,13,6,3,2,7,20,15,81,65,6,53,31,35,1,48,12,1,48,8,12,13,2,0,25,64,135,517,297,122,396,62,59,77,237,172,1508,46,267,180,121,4,2,3,101,91,0,16
From_79,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,1,3,8,16,13,16,2,2,1,1,8,3,11,6,3,0,1,0,0,2,2,5,10,1,1,0,1,0,0,0,2,2,2,3,2,13,0,0,0,1,0,2,5,0,0,1,1,0,1,0,5,55,29,8,29,3,3,4,10,84,120,114,48,3,4,3,3,1,45,11,0,3
From_80,1,0,0,0,0,64,2,9,2,1,8,48,9,0,3,82,0,0,78,229,343,322,217,197,74,23,30,32,77,50,356,92,64,31,52,28,39,38,10,40,42,5,51,17,3,4,0,62,156,27,98,73,20,429,41,61,2,146,8,13,23,11,11,7,8,1,2,20,154,377,300,48,350,80,37,150,174,88,804,108,2922,100,77,35,8,12,409,268,8,43
From_81,2,2,0,0,0,114,2,35,3,8,11,13,9,1,6,2,2,0,10,49,40,90,230,79,15,5,2,20,25,7,16,64,5,13,193,9,6,10,3,20,66,9,50,121,24,8,3,1,4,18,43,48,5,20,46,39,4,33,58,12,31,3,5,10,5,0,11,35,179,37,150,21,61,112,8,8,29,6,58,3,132,802,371,25,8,6,97,7,41,21
From_82,3,0,0,0,0,99,0,14,2,9,1,6,4,0,1,2,0,0,3,18,13,30,97,50,8,2,1,16,9,2,18,29,7,24,70,7,5,11,8,44,63,1,35,263,12,8,5,0,6,3,20,22,1,19,15,12,6,50,234,6,86,5,4,8,2,0,0,32,77,43,79,12,27,81,7,6,25,11,16,3,120,539,486,23,7,14,76,8,55,64
From_83,1,0,0,0,0,13,0,2,0,12,0,3,13,0,0,1,0,0,4,56,24,38,142,13,1,1,3,9,9,10,18,23,1,4,4,6,6,9,24,70,24,3,9,7,1,2,2,4,12,2,11,6,6,106,9,4,0,47,43,4,4,14,2,0,1,0,0,18,21,2,21,18,55,3,2,3,7,97,5,6,33,8,24,398,9,91,54,4,1,3
From_84,1,0,0,0,0,3,1,0,0,0,2,4,7,0,0,0,0,0,1,7,0,2,22,3,0,2,0,0,2,1,3,4,0,4,0,1,3,1,5,3,1,0,5,12,11,0,0,0,1,0,2,1,2,7,1,3,0,8,4,1,6,0,0,0,0,0,0,3,14,1,4,0,25,2,1,10,0,4,4,0,2,7,11,6,86,2,16,2,0,1
From_85,0,1,0,0,0,11,0,0,0,0,0,2,10,0,0,1,0,0,2,15,8,20,20,34,1,0,2,18,2,3,13,11,2,5,4,2,0,3,11,39,25,0,14,6,2,1,0,1,0,1,4,6,1,39,5,6,1,24,56,2,1,18,2,0,2,0,2,18,12,6,20,15,38,1,7,2,9,72,7,1,6,5,17,104,4,288,44,2,0,1
From_86,1,2,0,0,1,15,0,4,4,0,4,14,16,1,0,16,0,2,61,104,141,184,157,304,20,33,9,32,50,56,118,30,12,37,42,13,21,26,51,39,57,9,30,14,6,4,5,16,64,16,79,42,22,113,22,48,2,66,24,10,13,19,27,7,15,0,3,29,82,119,186,43,99,34,22,18,49,49,124,45,254,63,73,41,17,44,493,81,13,34
From_87,0,3,0,0,0,10,0,0,0,0,1,1,1,0,0,12,0,0,100,41,73,216,63,106,3,66,0,7,53,69,190,11,26,10,15,4,201,7,17,24,16,6,16,6,2,0,0,30,35,22,42,30,84,72,10,15,1,8,2,6,3,6,7,1,3,0,0,20,37,109,100,11,45,9,21,43,34,130,165,49,185,8,5,3,1,5,150,937,6,37
From_88,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2,6,13,4,71,4,2,0,2,3,1,3,3,1,0,7,0,0,2,0,0,3,0,4,0,0,0,0,0,2,0,5,2,0,0,3,4,1,2,1,0,0,1,1,0,2,0,9,12,10,3,8,1,1,11,2,1,0,0,1,0,55,19,7,1,0,0,11,2,69,10
From_89,0,0,0,0,0,1,1,2,0,0,1,1,2,0,1,1,0,0,32,27,32,37,43,40,2,27,2,13,37,14,34,8,0,4,22,1,10,2,9,10,16,2,8,4,4,1,2,1,5,4,13,6,9,10,12,22,0,5,7,0,1,1,4,2,4,0,0,3,30,28,25,6,4,26,5,6,1,9,22,1,34,15,22,8,0,5,18,43,4,262
